Unnamed: 0,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,LOCATION,LAT,LON,Year,Month,Day,DayOfWeek,Hour,Quarter,IsWeekend,TimeHour,TimeMinute,TimeOfDay
4482,200619822,12/29/2020 12:00:00 AM,12/14/2020 12:00:00 AM,730,6,Hollywood,667,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0554,27,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,1200 N  BRONSON                      AV,34.0926,-118.3179,2020.0,12.0,14.0,0.0,0.0,4.0,0,7,30,Morning
4484,200907937,03/28/2020 12:00:00 AM,03/28/2020 12:00:00 AM,1345,9,Van Nuys,906,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0445 2004 0913 1218,33,F,O,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,VAN NUYS                     BL,34.203,-118.4488,2020.0,3.0,28.0,5.0,0.0,1.0,1,13,45,Afternoon
4485,201214809,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1800,12,77th Street,1266,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1202 0913,71,F,B,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,740,,,8000 S  VERMONT                      AV,33.9667,-118.2914,2020.0,6.0,16.0,1.0,0.0,2.0,0,18,0,Afternoon
4486,200113321,06-08-2020 00:00,05/29/2020 12:00:00 AM,2230,1,Central,133,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 1822,0,M,O,101,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,SPRING                       ST,34.0517,-118.2456,2020.0,5.0,29.0,4.0,0.0,2.0,0,22,30,Evening
4487,200310510,04/27/2020 12:00:00 AM,04/27/2020 12:00:00 AM,900,3,Southwest,335,2,624,BATTERY - SIMPLE ASSAULT,1810 1701 1202 0554 0416 0446,74,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,3000    5TH                          AV,34.0261,-118.3224,2020.0,4.0,27.0,0.0,0.0,2.0,0,9,0,Morning
4488,200619338,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,2040,6,Hollywood,622,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1300 2000 0416 0400 0913,20,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,7200    HILLSIDE                     AV,34.1046,-118.3489,2020.0,12.0,16.0,2.0,0.0,4.0,0,20,40,Evening
4490,200106073,01/30/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1830,1,Central,182,1,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609 1822,30,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,1200 S  OLIVE                        ST,34.0395,-118.2622,2020.0,1.0,25.0,5.0,0.0,1.0,1,18,30,Afternoon
4491,200218260,12-06-2020 00:00,11/30/2020 12:00:00 AM,130,2,Rampart,205,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,37,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,600 N  DILLON                       ST,34.0786,-118.2788,2020.0,11.0,30.0,0.0,0.0,4.0,0,1,30,Night
4497,200406299,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,1350,4,Hollenbeck,415,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913,20,M,H,210,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,3100 N  BROADWAY,34.0762,-118.2119,2020.0,2.0,28.0,4.0,0.0,1.0,0,13,50,Afternoon
4499,200816987,11/29/2020 12:00:00 AM,11/29/2020 12:00:00 AM,1600,8,West LA,811,1,330,BURGLARY FROM VEHICLE,0377 0930 0344 1822,38,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,LOS LIONES,34.0419,-118.554,2020.0,11.0,29.0,6.0,0.0,4.0,1,16,0,Afternoon
